,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
526800,6.63779E-06,1.004828794,1.578504746,93027.02656,0.617493946,,,
526900,4.47447E-06,1.171888614,1.580924462,138153.3213,0.618163,,,
527000,1.04715E-05,1.54702713,1.8874284,66482.00838,0.696163348,,,
527100,1.65307E-05,1.881145434,2.183583259,45933.67335,0.759315389,,,
527200,1.01508E-05,1.56787736,1.987465979,70811.6066,0.718794921,,,
527300,2.46362E-05,2.543602938,2.843524756,34994.14941,0.862124025,,,
527400,1.17502E-05,1.903857763,2.57347521,70281.15664,0.825818395,,,
527500,1.90511E-05,2.318996052,2.943801643,45866.72278,0.873812809,,,
527600,3.53423E-06,0.840522155,1.217620652,143769.1362,0.508113458,,,
527700,1.09101E-05,1.502115604,1.791350708,61698.74072,0.67313689,,,
527800,1.03398E-05,1.644390119,1.925954957,68187.23618,0.705039871,,,
527900,6.80934E-06,1.399466323,1.820236954,99891.4179,0.680194542,,,
528000,7.25039E-06,1.149856193,1.49734757,82004.05139,0.594561497,,,
528100,2.59532E-06,0.884316695,1.297541745,205751.9216,0.533991131,,,
528200,1.43083E-05,1.659268518,2.201370093,53307.9624,0.762746021,,,
528300,4.83798E-06,1.146444297,1.589395261,128255.7684,0.620498509,,,
528400,1.89759E-05,1.982936467,2.493594574,42876.55197,0.813621083,,,
528500,1.5148E-05,1.912457187,2.266923215,51165.13317,0.775049282,,,
528600,1.6739E-05,1.76746905,2.226695153,45854.59807,0.767562263,,,
528700,7.69464E-08,0.82504161,1.188228065,6476696.951,0.498358502,,,
528800,6.5355E-06,1.332382487,1.744026085,101189.1564,0.661321648,,,
528900,5.24414E-06,1.080406745,1.532005597,115266.2106,0.604471971,,,
529000,7.33819E-06,1.074670086,1.388475624,76624.62688,0.562286022,,,
529100,1.59671E-05,1.768501823,2.069149623,46112.25171,0.736280476,,,
529200,9.54475E-06,1.032465264,1.414569996,59737.57547,0.570180371,,,
529300,1.39432E-05,1.721932394,2.335247713,56465.73289,0.787313182,,,
529400,5.85516E-06,1.022921619,1.52348319,102824.1052,0.602051218,,,
529500,8.73222E-06,1.205481384,1.58221299,70831.78868,0.618518933,,,
529600,7.87984E-06,1.140071469,1.448253296,73633.77685,0.580222596,,,
529700,1.24196E-05,1.502571521,1.879369632,55901.81454,0.694280937,,,
529800,9.72127E-06,1.363371961,1.695269653,66742.10022,0.648818255,,,
529900,1.2688E-05,1.447194501,1.770256741,52641.23076,0.667909371,,,
530000,9.37167E-06,1.431504218,2.113922828,79547.54219,0.745493586,,,
530100,4.89551E-06,0.983174114,1.399338606,115531.3913,0.565584584,,,
530200,1.48452E-05,1.77027791,2.342030604,53114.84177,0.788500056,,,
530300,1.2342E-05,1.661489305,2.039404854,59148.73901,0.730015208,,,
530400,2.27545E-05,2.093542425,2.602006745,36476.63125,0.830007251,,,
530500,9.66086E-06,1.603819894,2.203370073,78991.84621,0.763129284,,,
530600,9.44952E-06,1.319493598,1.677730466,68176.80689,0.644237778,,,
530700,4.03856E-06,1.131909624,1.441837668,143200.1093,0.578322706,,,
530800,1.88556E-05,1.849342543,2.210193804,40541.44062,0.764433171,,,
530900,3.01785E-05,2.969679097,3.597770153,30835.01736,0.930554672,,,
531000,1.66599E-05,1.794989214,2.077954172,44304.76061,0.738112794,,,
531100,5.32965E-06,1.015851857,1.392473388,105729.6133,0.56350197,,,
531200,1.75975E-06,0.979661115,1.390505303,319876.9774,0.562903658,,,
531300,7.23648E-06,1.163681515,1.661825029,88447.11568,0.640045999,,,
531400,3.32248E-06,1.00909203,1.379020048,168368.314,0.559400674,,,
531500,4.49026E-06,1.091202282,1.744155997,147286.3337,0.661354514,,,
531600,1.2841E-05,1.605413851,2.094406618,57745.28365,0.741509661,,,
531700,5.97997E-06,1.069068527,1.441893491,96712.79369,0.578339263,,,
531800,8.73691E-06,1.515691243,1.845720289,78554.59131,0.686324386,,,
531900,5.2097E-06,0.966601703,1.647756916,122139.2135,0.636308265,,,
532000,2.66498E-06,0.884677227,1.228890805,192054.0315,0.511819907,,,
532100,9.81416E-06,1.322103124,1.952078164,72440.5996,0.710943849,,,
532200,1.27563E-05,1.444055302,1.938247966,55488.49965,0.707829663,,,
532300,1.01252E-05,1.192869189,1.67218658,63483.43509,0.642780826,,,
532400,1.00078E-07,0.644389929,0.996926167,4314078.687,0.431743605,,,
532500,5.07437E-06,1.200935761,1.585747079,122083.0214,0.61949393,,,
532600,1.54133E-05,1.89221064,2.277845429,50414.16894,0.777047754,,,
532700,1.09527E-05,1.599201543,2.325136583,71720.68493,0.785533739,,,
532800,1.08182E-05,1.276103041,1.775135916,61851.73955,0.66912408,,,
532900,8.67858E-06,1.432602525,1.796552227,77710.46961,0.674416354,,,
533000,9.50856E-06,1.303823826,1.744266341,69556.54242,0.661382428,,,
533100,1.05936E-05,1.545013741,2.005355472,68220.24747,0.722700032,,,
533200,8.56739E-06,1.365239574,2.075299728,86089.3758,0.737561441,,,
533300,1.65415E-06,0.73550614,1.177762766,299158.6099,0.49485433,,,
533400,2.15641E-05,2.26679809,2.628757268,38668.77801,0.833856124,,,
533500,4.81232E-06,1.027561362,1.443604956,120284.3719,0.578846664,,,
533600,1.71761E-05,1.889725653,2.408809738,46570.36129,0.799895281,,,
533700,1.19692E-05,1.631672078,2.017038418,60590.90908,0.725227311,,,
533800,7.46207E-06,1.183007755,1.706783439,87348.58081,0.65180134,,,
533900,3.34343E-06,0.775147396,1.207554006,150978.9056,0.504786901,,,
534000,2.00313E-07,0.768215895,1.28594694,2647327.859,0.530295479,,,
534100,7.4468E-06,1.080806212,1.36451346,74521.70282,0.554948403,,,
534200,5.25343E-06,1.170251179,1.656303183,121555.3978,0.638582289,,,
534300,1.40263E-05,1.634690352,1.831125088,48681.82864,0.682824634,,,
534400,1.28677E-05,1.677935727,2.003551584,56133.45721,0.722308194,,,
534500,1.34977E-05,1.685676216,2.118488068,55299.47555,0.746418411,,,
534600,1.77273E-05,2.341524049,2.788014149,48244.873,0.855252148,,,
534700,7.10517E-06,1.143288983,1.69326745,91243.13482,0.648297583,,,
534800,5.32126E-06,1.019382149,1.31423699,101344.0013,0.539277538,,,
534900,8.55991E-06,1.147200724,1.499085484,69517.41602,0.595062627,,,
535000,2.42922E-06,0.795454655,1.041983231,184388.3407,0.447920326,,,
535100,2.91129E-06,0.893888563,1.288277694,182407.0875,0.531039965,,,
535200,1.22114E-05,1.615387959,2.127214227,61269.10077,0.748178691,,,
535300,2.22827E-05,2.086922787,2.474228255,36376.12657,0.810557663,,,
535400,7.34666E-06,0.959974187,1.440028781,78646.1036,0.57778594,,,
535500,1.82864E-05,1.767308474,2.161723355,41289.84048,0.755044527,,,
535600,8.51243E-06,1.462265322,1.784303361,78872.5471,0.67139735,,,
535700,1.22774E-05,1.495775948,1.910034528,57129.29172,0.701396352,,,
535800,1.25842E-05,1.543412851,2.026395881,57789.70354,0.727238476,,,
535900,4.23822E-06,0.954175635,1.316430594,127404.657,0.539969061,,,
536000,1.59524E-05,1.873332886,2.236186693,48227.66563,0.769346781,,,
536100,4.88025E-06,1.163470445,1.486605593,121193.5112,0.591454241,,,
536200,2.4539E-06,0.592384134,1.333097067,222177.0118,0.545199859,,,
536300,2.08372E-06,0.564229707,1.063672573,218647.5231,0.455600552,,,
536400,1.23227E-05,1.515509093,1.933291988,57349.98591,0.706707412,,,
536500,1.19318E-05,1.814240688,2.260388693,64855.97816,0.773846663,,,
536600,4.40185E-06,0.920275967,1.360063076,125759.8174,0.553576299,,,
536700,6.39068E-06,1.065975681,1.531717531,94573.73048,0.60439032,,,
536800,1.02598E-05,1.469152107,1.87256472,67514.34759,0.692684464,,,
536900,1.05262E-05,1.642478962,2.093116658,70419.18351,0.741244599,,,
